,date,open,high,low,close,tick_volume,spread,real_volume
4247,2018-05-04,148.178,148.289,147.06,147.555,197497,0,0
4248,2018-05-07,147.654,148.263,147.343,147.894,156920,0,0
4249,2018-05-08,147.856,148.082,147.051,147.852,212805,0,0
4250,2018-05-09,147.807,149.197,147.699,148.665,210672,0,0
4251,2018-05-10,148.614,149.309,147.48,147.858,259590,0,0
4252,2018-05-11,147.844,148.49,147.582,148.089,177198,0,0
4253,2018-05-14,148.031,149.068,147.967,148.626,162180,0,0
4254,2018-05-15,148.627,149.204,148.378,149.054,216218,0,0
4255,2018-05-16,148.968,149.063,148.183,148.922,222753,0,0
4256,2018-05-17,148.836,149.836,148.764,149.71,219838,0,0
4257,2018-05-18,149.662,150.012,149.09,149.188,156900,0,0
4258,2018-05-21,149.252,149.654,148.814,149.118,151685,0,0
4259,2018-05-22,149.031,149.727,148.767,148.954,188521,0,0
4260,2018-05-23,148.91,149.005,145.946,146.954,280731,0,0
4261,2018-05-24,146.876,147.272,145.691,146.187,268023,0,0
4262,2018-05-25,146.144,146.724,145.279,145.479,249456,0,0
4263,2018-05-28,146.138,146.189,145.321,145.619,167697,0,0
4264,2018-05-29,145.594,145.712,143.196,144.168,403108,0,0
4265,2018-05-30,144.108,145.059,143.6,144.644,504574,0,0
4266,2018-05-31,144.658,145.316,144.128,144.644,461481,0,0
4267,2018-06-01,144.662,146.307,144.489,146.207,419792,0,0
4268,2018-06-04,146.053,146.9,145.843,146.179,207303,0,0
4269,2018-06-05,146.173,147.109,146.039,147.086,204457,0,0
4270,2018-06-06,146.972,148.008,146.857,147.802,197479,0,0
4271,2018-06-07,147.742,148.117,146.906,147.198,233535,0,0
4272,2018-06-08,147.23,147.443,146.096,146.829,230454,0,0
4273,2018-06-11,146.616,147.848,146.552,147.246,165826,0,0
4274,2018-06-12,147.145,147.991,147.119,147.583,225342,0,0
4275,2018-06-13,147.553,147.898,147.213,147.606,190169,0,0
4276,2018-06-14,147.543,147.851,146.643,146.687,249009,0,0
4277,2018-06-15,146.676,147.072,146.296,146.98,237704,0,0
4278,2018-06-18,146.773,147.004,146.102,146.432,155899,0,0
4279,2018-06-19,146.39,146.466,144.385,144.988,260878,0,0
4280,2018-06-20,144.954,145.623,144.589,145.352,199656,0,0
4281,2018-06-21,145.322,146.222,144.591,145.612,281518,0,0
4282,2018-06-22,145.562,146.652,145.467,145.895,214740,0,0
4283,2018-06-25,145.562,146.188,144.695,145.76,228782,0,0
4284,2018-06-26,145.724,145.795,144.97,145.471,235928,0,0
4285,2018-06-27,145.52,145.663,144.518,144.607,279509,0,0
4286,2018-06-28,144.534,144.68,143.771,144.507,272203,0,0
4287,2018-06-29,144.457,146.33,144.344,146.177,272757,0,0
4288,2018-07-02,145.916,146.497,145.186,145.73,213445,0,0
4289,2018-07-03,145.712,146.386,145.284,145.87,214122,0,0
4290,2018-07-04,145.841,146.363,145.571,146.145,260922,0,0
4291,2018-07-05,146.126,146.875,145.84,146.295,315482,0,0
